"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"0200-Građevinsko zemljište (bez zgrada)","020-Zemljišta","0200","020","1","","Asset","EUR"
"0201-Poljoprivredno zemljište","020-Zemljišta","0201","020","0","Fixed Asset","Asset","EUR"
"0202-Zemljišta ispod građevina","020-Zemljišta","0202","020","0","Fixed Asset","Asset","EUR"
"0203-Zemljište sa supstancijalnom potrošnjom","020-Zemljišta","0203","020","0","Fixed Asset","Asset","EUR"
"0204-Zemljište pod prometnicama, dvorištima, parkiralištima i sl.","020-Zemljišta","0204","020","0","Fixed Asset","Asset","EUR"
"0205-Zemljišta pod dugogodišnjim nasadima, parkovima,...","020-Zemljišta","0205","020","0","Fixed Asset","Asset","EUR"
"0206-Čista neobrađena i nezasađena zemljišta i kamenjari","020-Zemljišta","0206","020","0","Fixed Asset","Asset","EUR"
"0207-Zemljište za eksploataciju kamena, gline, šljunka i pijeska","020-Zemljišta","0207","020","0","Fixed Asset","Asset","EUR"
"0208-Zemljište za odlagalište (materijala, smeća i otpada)","020-Zemljišta","0208","020","0","Fixed Asset","Asset","EUR"
"0209-Zemljišta – ostalo","020-Zemljišta","0209","020","0","Fixed Asset","Asset","EUR"
"021-Zemljišna prava (višegodišnja)","02-MATERIJALNA IMOVINA – NEKRETNINE","021","02","0","Fixed Asset","Asset","EUR"
"0210-Zemljište s upisanim pravom građenja (plaćena za više...","021-Zemljišna prava (višegodišnja)","0210","021","1","","Asset","EUR"
"0211-Pravo služnosti na zemljištu (plaćena za više godina)","021-Zemljišna prava (višegodišnja)","0211","021","0","Fixed Asset","Asset","EUR"
"0212-Zemljišta u zakupu (plaćena za više godina)","021-Zemljišna prava (višegodišnja)","0212","021","0","Fixed Asset","Asset","EUR"
"023-Građevinski objekti (za vlastite potrebe)","02-MATERIJALNA IMOVINA – NEKRETNINE","023","02","0","Fixed Asset","Asset","EUR"
"0230-Poslovne zgrade, uredi i lokali","023-Građevinski objekti (za vlastite potrebe)","0230","023","1","","Asset","EUR"
"0231-Tvorničke zgrade, hale i radionice","023-Građevinski objekti (za vlastite potrebe)","0231","023","0","Fixed Asset","Asset","EUR"
"0232-Zgrade trgovine, hotela, motela, restorana","023-Građevinski objekti (za vlastite potrebe)","0232","023","0","Fixed Asset","Asset","EUR"
"0233-Skladišta, silosi, nadstrešnice i garaže, staklenici,...","023-Građevinski objekti (za vlastite potrebe)","0233","023","0","Fixed Asset","Asset","EUR"
"0234-Zgrade montažne, barake, mostovi, drvene konstrukcije i sl.","023-Građevinski objekti (za vlastite potrebe)","0234","023","0","Fixed Asset","Asset","EUR"
"0235-Ograde (betonske, kamene, metalne i sl.), izlozi,...","023-Građevinski objekti (za vlastite potrebe)","0235","023","0","Fixed Asset","Asset","EUR"
"0236-Putovi, parkirališta, staze i dr. građevine (rampe i...","023-Građevinski objekti (za vlastite potrebe)","0236","023","0","Fixed Asset","Asset","EUR"
"0237-Cjevovodi, vodospremnici, utvrđene obale, kanali,...","023-Građevinski objekti (za vlastite potrebe)","0237","023","0","Fixed Asset","Asset","EUR"
"0238-Objekti poljoprivrede i ribarstva","023-Građevinski objekti (za vlastite potrebe)","0238","023","0","Fixed Asset","Asset","EUR"
"0239-Ostali građevinski objekti (rudnici, brane) i objekti...","023-Građevinski objekti (za vlastite potrebe)","0239","023","0","Fixed Asset","Asset","EUR"
"024-Stanovi za vlastite zaposlenike","02-MATERIJALNA IMOVINA – NEKRETNINE","024","02","0","Fixed Asset","Asset","EUR"
"026-Predujmovi za nabavu nekretnina","02-MATERIJALNA IMOVINA – NEKRETNINE","026","02","0","Fixed Asset","Asset","EUR"
"0260-Predujmovi za nabavu zemljišta","026-Predujmovi za nabavu nekretnina","0260","026","1","","Asset","EUR"
"0261-Predujmovi za građevine u nabavi","026-Predujmovi za nabavu nekretnina","0261","026","0","Fixed Asset","Asset","EUR"
"027-Nekretnine u pripremi","02-MATERIJALNA IMOVINA – NEKRETNINE","027","02","0","Fixed Asset","Asset","EUR"
"0270-Zemljišta u pripremi","027-Nekretnine u pripremi","0270","027","1","","Asset","EUR"
"0271-Građevine u pripremi","027-Nekretnine u pripremi","0271","027","0","Fixed Asset","Asset","EUR"
"028-Vrijednosno usklađenje nekretnina","02-MATERIJALNA IMOVINA – NEKRETNINE","028","02","0","Fixed Asset","Asset","EUR"
"0280-Vrijednosno usklađenje zemljišta","028-Vrijednosno usklađenje nekretnina","0280","028","1","","Asset","EUR"
"029-Akumulirana amortizacija građevina","02-MATERIJALNA IMOVINA – NEKRETNINE","029","02","0","Fixed Asset","Asset","EUR"
"0290-Akumulirana amortizacija građevina (analitika prema...","029-Akumulirana amortizacija građevina","0290","029","1","","Asset","EUR"
"0291-Akumulirana amortizacija odlagališta otpada, kamenoloma...","029-Akumulirana amortizacija građevina","0291","029","0","Fixed Asset","Asset","EUR"
"03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","0-POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","03","0","0","Fixed Asset","Asset","EUR"
"030-Postrojenja","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","030","03","1","","Asset","EUR"
"0300-Tehnička postrojenja, uređaji, spremnici, pogonski...","030-Postrojenja","0300","030","1","","Asset","EUR"
"0301-Strojevi i alati u svezi sa strojevima u pogonima i...","030-Postrojenja","0301","030","0","Fixed Asset","Asset","EUR"
"0302-Energetska postrojenja (kotlovnice, generatori, naponske...","030-Postrojenja","0302","030","0","Fixed Asset","Asset","EUR"
"0303-Rashladna postrojenja","030-Postrojenja","0303","030","0","Fixed Asset","Asset","EUR"
"0304-Pokretna postrojenja (dizala, pokretne stepenice,...","030-Postrojenja","0304","030","0","Fixed Asset","Asset","EUR"
"0305-Automatske autopraonice i sl. oprema","030-Postrojenja","0305","030","0","Fixed Asset","Asset","EUR"
"0306-Mlinska i separatorska postrojenja","030-Postrojenja","0306","030","0","Fixed Asset","Asset","EUR"
"0307-Postrojenje za pakiranje, ambalažu i sl.","030-Postrojenja","0307","030","0","Fixed Asset","Asset","EUR"
"0308-Brodska postrojenja (dizalice, motori)","030-Postrojenja","0308","030","0","Fixed Asset","Asset","EUR"
"0309-Ostala postrojenja i postrojenja izvan uporabe","030-Postrojenja","0309","030","0","Fixed Asset","Asset","EUR"
"031-Oprema","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","031","03","0","Fixed Asset","Asset","EUR"
"0310-Uredska oprema (fotokopirni aparati, telefaksi,...","031-Oprema","0310","031","1","","Asset","EUR"
"0311-Računalna oprema","031-Oprema","0311","031","0","Fixed Asset","Asset","EUR"
"0312-Telekomunikacijska oprema (mobiteli, tel. centrale,...","031-Oprema","0312","031","0","Fixed Asset","Asset","EUR"
"0313-Oprema trgovine (blagajne, hladnjaci, i dr.)","031-Oprema","0313","031","0","Fixed Asset","Asset","EUR"
"0314-Oprema ugostiteljstva, hotela i sl. (aparati, štednjaci,...","031-Oprema","0314","031","0","Fixed Asset","Asset","EUR"
"0315-Oprema servisa (dizalice, ispitni uređaji, aparati i dr.)","031-Oprema","0315","031","0","Fixed Asset","Asset","EUR"
"0316-Oprema za graditeljstvo i montažu (kranovi, bageri,...","031-Oprema","0316","031","0","Fixed Asset","Asset","EUR"
"0317-Oprema (aparati) grijanja/hlađenja","031-Oprema","0317","031","0","Fixed Asset","Asset","EUR"
"0318-Oprema zaštite na radu i protupožarne zaštite","031-Oprema","0318","031","0","Fixed Asset","Asset","EUR"
"0319-Ostala oprema i oprema izvan uporabe","031-Oprema","0319","031","0","Fixed Asset","Asset","EUR"
"032-Alati, pogonski inventar i transportna imovina","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","032","03","0","Fixed Asset","Asset","EUR"
"0320-Transportna imovina","032-Alati, pogonski inventar i transportna imovina","0320","032","1","","Asset","EUR"
"03200-Putnička vozila (osobna i putnički kombi) i motor kotači","0320-Transportna imovina","03200","0320","1","","Asset","EUR"
"032000-Osobni automobili za osobni prijevoz","03200-Putnička vozila (osobna i putnički kombi) i motor kotači","032000","03200","1","","Asset","EUR"
"032001-Osobni automobili za obavljanje djelatnosti...","03200-Putnička vozila (osobna i putnički kombi) i motor kotači","032001","03200","0","Fixed Asset","Asset","EUR"
"03201-Teretna i vučna vozila, tegljači i kamioni, cisterne i...","0320-Transportna imovina","03201","0320","0","Fixed Asset","Asset","EUR"
"03202-Priključna transportna sredstva (prikolice)","0320-Transportna imovina","03202","0320","0","Fixed Asset","Asset","EUR"
"03203-Teretna dostavna i kombi vozila","0320-Transportna imovina","03203","0320","0","Fixed Asset","Asset","EUR"
"03204-Auto miješalice, auto crpke za beton, auto dizalice i sl.","0320-Transportna imovina","03204","0320","0","Fixed Asset","Asset","EUR"
"03205-Autobusi","0320-Transportna imovina","03205","0320","0","Fixed Asset","Asset","EUR"
"03206-Zrakoplovi","0320-Transportna imovina","03206","0320","0","Fixed Asset","Asset","EUR"
"03207-Brodovi (veći od 1000 BRT)","0320-Transportna imovina","03207","0320","0","Fixed Asset","Asset","EUR"
"03208-Brodice, jahte i ost. plovila","0320-Transportna imovina","03208","0320","0","Fixed Asset","Asset","EUR"
"03209-Ostala transportna sredstva i uređaji (gusjeničari, el....","0320-Transportna imovina","03209","0320","0","Fixed Asset","Asset","EUR"
"0321-Pokućstvo – inventar","032-Alati, pogonski inventar i transportna imovina","0321","032","0","Fixed Asset","Asset","EUR"
"03210-Uredsko pokućstvo, sagovi, zavjese i sl.","0321-Pokućstvo – inventar","03210","0321","1","","Asset","EUR"
"03211-Inventar trgovine (police, pregrade, pultovi)","0321-Pokućstvo – inventar","03211","0321","0","Fixed Asset","Asset","EUR"
"03212-Ugostiteljsko i hotelsko pokućstvo i inventar","0321-Pokućstvo – inventar","03212","0321","0","Fixed Asset","Asset","EUR"
"03213-Ostalo pokućstvo i inventar","0321-Pokućstvo – inventar","03213","0321","0","Fixed Asset","Asset","EUR"
"0322-Pogonski i skladišni inventar (stalaže, zatvoreni...","032-Alati, pogonski inventar i transportna imovina","0322","032","0","Fixed Asset","Asset","EUR"
"0323-Alati, mjerni i kontrolni instrumenti i pomoćna oprema","032-Alati, pogonski inventar i transportna imovina","0323","032","0","Fixed Asset","Asset","EUR"
"0324-Audio i video aparati, kamere, parkir. rampe i sl.","032-Alati, pogonski inventar i transportna imovina","0324","032","0","Fixed Asset","Asset","EUR"
"0325-Reklame (svjetleće), stupovi i sl.","032-Alati, pogonski inventar i transportna imovina","0325","032","0","Fixed Asset","Asset","EUR"
"0326-Inventar ustanova (aparati, kreveti, ormari, stolovi i sl.)","032-Alati, pogonski inventar i transportna imovina","0326","032","0","Fixed Asset","Asset","EUR"
"0327-Ostali inventar (spremnici i dr.)","032-Alati, pogonski inventar i transportna imovina","0327","032","0","Fixed Asset","Asset","EUR"
"0328-Višegodišnja ambalaža","032-Alati, pogonski inventar i transportna imovina","0328","032","0","Fixed Asset","Asset","EUR"
"0329-Alati, inventar i vozila izvan uporabe","032-Alati, pogonski inventar i transportna imovina","0329","032","0","Fixed Asset","Asset","EUR"
"033-Pretporez koji se ne može odbiti (kao dio vrijednosti...","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","033","03","0","Fixed Asset","Asset","EUR"
"0330-50% pretporeza od osobnih automobila (v. napomenu pod 2.)","033-Pretporez koji se ne može odbiti (kao dio vrijednosti...","0330","033","1","","Asset","EUR"
"0331-50% i 100% pretporeza od osobnih automobila (n. v. veće...","033-Pretporez koji se ne može odbiti (kao dio vrijednosti...","0331","033","0","Fixed Asset","Asset","EUR"
"0332-50% pretporeza od brodova, jahti i dr.","033-Pretporez koji se ne može odbiti (kao dio vrijednosti...","0332","033","0","Fixed Asset","Asset","EUR"
"0333-50% i 100% pretporeza od brodova, jahti i dr. (n.v. veće...","033-Pretporez koji se ne može odbiti (kao dio vrijednosti...","0333","033","0","Fixed Asset","Asset","EUR"
"0334-50% pretporeza kod vozila N1","033-Pretporez koji se ne može odbiti (kao dio vrijednosti...","0334","033","0","Fixed Asset","Asset","EUR"
"034-Poljoprivredna oprema i mehanizacija","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","034","03","0","Fixed Asset","Asset","EUR"
"0340-Traktori, kombajni, prikolice, kosilice i sl.","034-Poljoprivredna oprema i mehanizacija","0340","034","1","","Asset","EUR"
"0341-Radni priključci (plugovi, beračice, freze, prskalice,...","034-Poljoprivredna oprema i mehanizacija","0341","034","0","Fixed Asset","Asset","EUR"
"0342-Oprema za mljekarstvo (muzilice, separatori, police,...","034-Poljoprivredna oprema i mehanizacija","0342","034","0","Fixed Asset","Asset","EUR"
"0343-Oprema ribarstva (kavezi, mreže, čamci i brodovi, pakirnice)","034-Poljoprivredna oprema i mehanizacija","0343","034","0","Fixed Asset","Asset","EUR"
"0344-Oprema vinogradarstva (bačve, filteri, preše, punionica)","034-Poljoprivredna oprema i mehanizacija","0344","034","0","Fixed Asset","Asset","EUR"
"0345-Oprema voćarstva i maslinarstva","034-Poljoprivredna oprema i mehanizacija","0345","034","0","Fixed Asset","Asset","EUR"
"0346-Oprema stočarstva i pčelarstva","034-Poljoprivredna oprema i mehanizacija","0346","034","0","Fixed Asset","Asset","EUR"
"0347-Oprema za povrtlarstvo i cvjećarstvo (plastenici, sustav...","034-Poljoprivredna oprema i mehanizacija","0347","034","0","Fixed Asset","Asset","EUR"
"0348-Oprema za navodnjavanje, grijanje i sl.","034-Poljoprivredna oprema i mehanizacija","0348","034","0","Fixed Asset","Asset","EUR"
"0349-Ostala oprema poljoprivrede","034-Poljoprivredna oprema i mehanizacija","0349","034","0","Fixed Asset","Asset","EUR"
"035-Ostala materijalna imovina","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","035","03","0","Fixed Asset","Asset","EUR"
"0350-Umjetnine, slike i sl.","035-Ostala materijalna imovina","0350","035","1","","Asset","EUR"
"0351-Arhivski predmeti, makete i sl.","035-Ostala materijalna imovina","0351","035","0","Fixed Asset","Asset","EUR"
"0352-Knjige, karte, fotografije i sl.","035-Ostala materijalna imovina","0352","035","0","Fixed Asset","Asset","EUR"
"0353-Oldtimeri (automobili, traktori, kamioni, brodovi i sl.)","035-Ostala materijalna imovina","0353","035","0","Fixed Asset","Asset","EUR"
"0354-Ostala materijalna imovina","035-Ostala materijalna imovina","0354","035","0","Fixed Asset","Asset","EUR"
"036-Predujmovi za materijalnu imovinu","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","036","03","0","Fixed Asset","Asset","EUR"
"0360-Predujmovi za postrojenja i opremu","036-Predujmovi za materijalnu imovinu","0360","036","1","","Asset","EUR"
"0361-Predujmovi za alate, pogonski inventar i transportnu imovinu","036-Predujmovi za materijalnu imovinu","0361","036","0","Fixed Asset","Asset","EUR"
"0364-Predujam za poljoprivrednu opremu","036-Predujmovi za materijalnu imovinu","0364","036","0","Fixed Asset","Asset","EUR"
"0367-Predujam za ostalu imovinu","036-Predujmovi za materijalnu imovinu","0367","036","0","Fixed Asset","Asset","EUR"
"037-Materijalna imovina u pripremi","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","037","03","0","Fixed Asset","Asset","EUR"
"0370-Postrojenja u pripremi","037-Materijalna imovina u pripremi","0370","037","1","","Asset","EUR"
"0371-Oprema u pripremi","037-Materijalna imovina u pripremi","0371","037","0","Fixed Asset","Asset","EUR"
"0372-Alati, pogonski inventar u pripremi","037-Materijalna imovina u pripremi","0372","037","0","Fixed Asset","Asset","EUR"
"0373-Osobni automobili i transportna sredstva u pripremi","037-Materijalna imovina u pripremi","0373","037","0","Fixed Asset","Asset","EUR"
"0374-Poljoprivredna oprema u pripremi","037-Materijalna imovina u pripremi","0374","037","0","Fixed Asset","Asset","EUR"
"0375-Ostala imovina u pripremi","037-Materijalna imovina u pripremi","0375","037","0","Fixed Asset","Asset","EUR"
"038-Vrijednosno usklađenje postrojenja i opreme","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","038","03","0","Fixed Asset","Asset","EUR"
"0380-Vrijednosno usklađenje postrojenja","038-Vrijednosno usklađenje postrojenja i opreme","0380","038","1","","Asset","EUR"
"0381-Vrijednosno usklađenje opreme","038-Vrijednosno usklađenje postrojenja i opreme","0381","038","0","Fixed Asset","Asset","EUR"
"0382-Vrijednosno usklađenje alata, pogonskog inventara i...","038-Vrijednosno usklađenje postrojenja i opreme","0382","038","0","Fixed Asset","Asset","EUR"
"0384-Vrijednosno usklađenje poljoprivredne opreme","038-Vrijednosno usklađenje postrojenja i opreme","0384","038","0","Fixed Asset","Asset","EUR"
"0385-Vrijednosno usklađenje ostale mat. imovine","038-Vrijednosno usklađenje postrojenja i opreme","0385","038","0","Fixed Asset","Asset","EUR"
"039-Akumulirana amortizacija postrojenja i opreme","03-POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","039","03","0","Fixed Asset","Asset","EUR"
"0390-Akumulirana amortiz. postrojenja","039-Akumulirana amortizacija postrojenja i opreme","0390","039","1","","Asset","EUR"
"0391-Akumulirana amortiz. opreme","039-Akumulirana amortizacija postrojenja i opreme","0391","039","0","Fixed Asset","Asset","EUR"
"0392-Akumulirana amortiz. alata, pogonskog inventara i...","039-Akumulirana amortizacija postrojenja i opreme","0392","039","0","Fixed Asset","Asset","EUR"
"0393-Akumulirana amortiz. osobnih automobila, plovila i...","039-Akumulirana amortizacija postrojenja i opreme","0393","039","0","Fixed Asset","Asset","EUR"
"0394-Akumulirana amortizacija poljoprivredne opreme i...","039-Akumulirana amortizacija postrojenja i opreme","0394","039","0","Fixed Asset","Asset","EUR"
"0395-Akumulirana amortizacija 50% pretporeza od osobnih...","039-Akumulirana amortizacija postrojenja i opreme","0395","039","0","Fixed Asset","Asset","EUR"
"0396-Akumulirana amortiz. 50% i 100% pretporeza od osob....","039-Akumulirana amortizacija postrojenja i opreme","0396","039","0","Fixed Asset","Asset","EUR"
"0397-Akumulirana amortiz. 50% od pretporeza od brodova, jahti...","039-Akumulirana amortizacija postrojenja i opreme","0397","039","0","Fixed Asset","Asset","EUR"
"0398-Akumulirana amortiz. 50% i 100% pretporeza od brodova,...","039-Akumulirana amortizacija postrojenja i opreme","0398","039","0","Fixed Asset","Asset","EUR"
"0399-Ostala akumulirana amortizacija za opremu","039-Akumulirana amortizacija postrojenja i opreme","0399","039","0","Fixed Asset","Asset","EUR"
